Subject,T1B0,T1B1,T1B2,T1B3,T1B4,T2B0,T2B1,T2B2,T2B3,T2B4
1,1.0,1.0,1.763888888888889,2.0277777777777777,2.111111111111111,2.083333333333333,1.3333333333333333,1.9444444444444444,2.111111111111111,2.6666666666666665
2,1.75,1.25,1.4375,1.6666666666666667,1.8611111111111114,1.9166666666666665,1.6180555555555556,1.8055555555555554,1.9166666666666667,2.0000000000000004
3,1.0833333333333335,0.9722222222222223,1.0763888888888888,1.2222222222222223,1.0833333333333335,2.083333333333333,1.9444444444444444,2.0,2.0,2.0
4,1.1666666666666665,1.0555555555555556,1.4305555555555554,1.9444444444444444,2.0277777777777777,1.9166666666666665,1.5208333333333333,1.9722222222222223,2.111111111111111,2.305555555555556
5,1.0,1.0,1.1597222222222223,1.3333333333333333,1.3888888888888886,1.75,1.3680555555555556,1.6388888888888886,1.9444444444444444,2.0277777777777777
6,1.0,1.0,1.2986111111111112,1.7499999999999998,1.6388888888888886,1.75,1.3958333333333333,2.0,2.0,2.2499999999999996
7,1.0,1.0555555555555556,1.034722222222222,1.0555555555555556,1.2222222222222223,1.0833333333333335,1.1250000000000002,1.4166666666666667,1.7500000000000002,1.75
8,1.25,1.027777777777778,1.3124999999999998,1.611111111111111,1.7222222222222223,2.0,1.8263888888888886,1.9444444444444444,2.3055555555555554,2.5
9,0.9166666666666667,1.027777777777778,1.152777777777778,1.3333333333333333,1.5,1.9166666666666665,1.6805555555555554,1.9444444444444444,1.9166666666666667,2.0555555555555554
10,1.0,1.0555555555555556,1.6944444444444446,1.861111111111111,2.0555555555555554,1.75,1.5347222222222223,1.9166666666666667,2.138888888888889,2.6666666666666665
