Subject,T1B0_L,T1B0_R,T1B1_L,T1B1_R,T1B2_L,T1B2_R,T1B3_L,T1B3_R,T1B4_L,T1B4_R
1,1.0,1.0,1.0,1.0,1.7777777777777777,1.75,2.0,2.0555555555555554,2.111111111111111,2.111111111111111
2,1.8333333333333333,1.6666666666666667,1.3333333333333333,1.1666666666666667,1.5694444444444446,1.3055555555555556,1.8333333333333333,1.5,1.777777777777778,1.9444444444444444
3,1.0,1.1666666666666667,0.9444444444444445,1.0,1.0694444444444444,1.0833333333333333,1.2222222222222223,1.2222222222222223,1.0555555555555556,1.1111111111111114
4,1.3333333333333333,1.0,1.0555555555555556,1.0555555555555556,1.4583333333333333,1.4027777777777777,1.9444444444444444,1.9444444444444444,2.0555555555555554,2.0
5,1.0,1.0,1.0,1.0,1.1944444444444444,1.1250000000000002,1.4444444444444444,1.2222222222222223,1.5,1.2777777777777777
6,1.1666666666666667,0.8333333333333334,1.0,1.0,1.2499999999999998,1.3472222222222223,1.6666666666666667,1.8333333333333333,1.4444444444444444,1.8333333333333333
7,1.0,1.0,1.111111111111111,1.0,1.0,1.0694444444444444,1.111111111111111,1.0,1.111111111111111,1.3333333333333333
8,1.3333333333333333,1.1666666666666667,0.9444444444444445,1.1111111111111114,1.2083333333333333,1.4166666666666667,1.4444444444444444,1.7777777777777777,1.5555555555555554,1.8888888888888886
9,0.8333333333333334,1.0,1.0,1.0555555555555556,1.0972222222222223,1.2083333333333333,1.2777777777777777,1.388888888888889,1.388888888888889,1.611111111111111
10,1.0,1.0,1.1111111111111112,1.0,1.6805555555555554,1.7083333333333333,1.8888888888888886,1.8333333333333333,2.055555555555556,2.0555555555555554
